,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Premier League,942,988,1029,988,1040,1001,986,1037,1038,1196,1081,773
La Liga,982,1014,1096,994,953,924,922,926,922,977,968,690
Bundesliga,822,837,860,835,954,954,901,923,948,960,930,696
Serie A,988,951,1096,981,988,1122,1129,1053,944,971,936,653
Ligue 1,902,926,964,997,948,681,1022,1033,1030,788,888,593
