predictor,1,2,4,8,16,32,64
past_goals,0.101,0.181,0.288,0.438,0.601,0.723,0.793
past_xg_basic,0.121,0.210,0.317,0.453,0.578,0.666,0.695
past_xg_shottype,0.130,0.226,0.344,0.495,0.631,0.720,0.760
past_xg_situation,0.138,0.240,0.358,0.505,0.638,0.720,0.762
past_xg_advanced,0.138,0.240,0.360,0.512,0.650,0.736,0.788
